wikidata,label
Q121316092,"Blue Moses (Stan Brakhage, 1962)"
Q122661800,"Canyon (Jon Jost, 1971)"
Q16631287,"Disorder (Jacques Baratier, 1950)"
Q1468980,"Eclipse (Michelangelo Antonioni, 1962)"
Q451434,"La Jetée (Chris Marker, 1962)"
Q688329,"Even Dwarfs Started Small (Werner Herzog, 1970)"
Q700830,"The Goalkeeper's Fear of the Penalty (Wim Wenders, 1972)"
Q225355,"Last Year at Marienbad (Alain Resnais, 1961)"
Q122811238,Living in a Reversed World (Theodor Wrismann)
Q195593,"Masculin Féminin (Jean-Luc Godard, 1966)"
Q122811209,"Nothing Happened This Morning (David Bienstock, 1965)"
Q76940513,"Nicht mehr fliehen (Herbert Vesely, 1955)"
Q135465,"Rashomon (Akira Kurosawa, 1950)"
Q55752315,"Relativity (Ed Emshwiller, 1966)"
Q232217,"Two or Three Things I Know About Her (Jean-Luc Godard, 1967)"
Q8074498,"Zorns Lemma (Hollis Frampton, 1970)"
Q1812267,"Weekend (Jean-Luc Godard, 1967)"
Q122871122,"Why Not (Shusaku Arakawa, 1970)"
Q151177,"Strike (Sergei Eisenstein, 1925)"
Q55188,"Earth (Oleksandr Dovzhenko, 1930)"
Q704456,"Arsenal (Oleksandr Dovzhenko, 1929)"
Q1807931,"Storm over Asia (Vsevolod Pudovkin, 1928)"
Q2198716,"The End of St. Petersburg (Mikhail Doller/Vsevolod Pudovkin, 1927)"
Q829250,"Man with a Movie Camera (Dziga Vertov, 1929)"
Q153886,"The Cabinet of Dr. Caligari (Robert Wiene, 1920)"
Q926134,"Death by Hanging (Nagisa Ōshima, 1968)"
Q3657853,"Capricci (Carmelo Bene, 1969)"
Q3878627,"Our Lady of the Turks (Carmelo Bene, 1968)"
Q284980,"Feu Mathias Pascal (Marcel L'Herbier, 1926)"
Q2336169,"The Cat and the Canary (Paul Leni, 1927)"
Q3178853,"The Cremator (Juraj Herz, 1969)"
Q122661783,"Visual Training (Frans Zwartjes, 1969)"
Q3561417,"Viva la Muerte (Fernando Arrabal, 1971)"
Q122661831,"The Liberation Of Mannique Mechanique (Steven F. Arnold, 1971)"
Q122661813,"The Reality Of Karel Appel (Jan Vrijman, 1962)"
