title,alt_title,director,country,year,feature,wikidata
Blue Moses,,Stan Brakhage,USA,1962,,Q121316092
Canyon,,Jon Jost,USA,1971,,Q122661800
Disorder,Desordre,Jacques Baratier,France,1955,,Q16631287
The Eclipse,L'Eclisse,Michelangelo Antonioni,France/Italy,1962,feature,Q1468980
La Jetee,,Chris Marker,France,1963,,Q451434
Even Dwarfs Started Small,,Werner Herzog,West Germany,1970,feature,Q688329
The Goalie's Anxiety At The Penalty Kick,Die Angst Des Tormanns Beim Elfmeter,Wim Wenders,Austria,1972,feature,Q700830
Last Year At Marienbad,Annee Derniere A Marienbad,Alain Resnais,France/Italy,1961,feature,Q225355
Living In A Reversed World,,Theodor Wrismann & Ivo Kohler,Austria,195?,,Q122811238
Masculine - Feminine,,Jean-Luc Godard,France,1966,feature,Q195593
Nothing Happened This Morning,,David Bienstock,USA,1965,,Q122811209
No More Fleeing,Nicht Mehr Fliehen,Herbert Vesely,West Germany,1955,feature,Q76940513
Rashomon,,Akira Kurosawa,Japan,1951,feature,Q135465
Relativity,,Ed Emshwiller,USA,1966,,Q55752315
Two Or Three Things I Know About Her,Deux Ou Trois Choses Que Je Sais D'Elle,Jean-Luc Godard,France,1966,feature,Q232217
Zorn's Lemma,,Hollis Frampton,USA,1970,feature,Q8074498
Weekend,,Jean-Luc Godard,France,1968,feature,Q1812267
Why Not,,S. Arakawa,USA,1970,feature,
Strike,Stachka,Sergei M. Eisenstein,USSR,1925,feature,Q151177
Earth,Zemlya,Alexnader Dovzhenko,USSR,1930,feature,Q55188
Arsenal,,Alexnader Dovzhenko,USSR,1929,feature,Q704456
Storm Over Asia,Potomok Chingis-Khan,V.I. Pudovkin,USSR,1928,feature,Q1807931
The End Of St. Petersburg,,V.I. Pudovkin,USSR,1927,feature,Q2198716
The Man With The Movie Camera,Chelovek A Kinoapparatom,Dziga Vertov,USSR,1929,feature,Q829250
The Cabinet Of Dr. Caligari,Das Kabinett Des Dr. Caligari,Robert Wiene,Germany,1919,feature,Q153886
Death By Hanging,Koshikei,Nagisa Oshima,Japan,1968,feature,Q926134
