,section,title,director,country,year,wikidata
0,The World View Of Subversive Cinema,Blow Up,Michelangelo Antonioni, Great Britain, 1966,Q658204
1,The World View Of Subversive Cinema,2001: A Space Odyssey,Stanley Kubrick, Great Britain, 1968,Q103474
2,The World View Of Subversive Cinema,Last Year At Marienbad,Alain Resnais, France/Italy, 1961,Q225355
3,The World View Of Subversive Cinema,The Eclipse,Michelangelo Antonioni, France/Italy, 1962,Q1468980
4,The World View Of Subversive Cinema,Blue Moses,Stan Brakhage, USA, 1962,
5,The World View Of Subversive Cinema,Canyon,Jon Jost, USA, 1971,
6,The World View Of Subversive Cinema,Disorder (Desordre),Jacques Baratier, France, 1955,Q16631287
7,The World View Of Subversive Cinema,The Eclipse (L'Eclisse),Michelangelo Antonioni, France/Italy, 1962,Q1468980
8,The World View Of Subversive Cinema,La Jetee,Chris Marker, France, 1963,Q451434
9,The World View Of Subversive Cinema,Even Dwarfs Started Small,Werner Herzog, West Germany, 1970,Q688329
10,The World View Of Subversive Cinema,(Die Angst Des Tormanns Beim Elfmeter),Wim Wenders, Austria, 1972,Q700830
11,The World View Of Subversive Cinema,(Annee Derniere A Marienbad),Alain Resnais, France/Italy, 1961,Q225355
12,The World View Of Subversive Cinema,Living In A Reversed World,Theodor Wrismann & Ivo Kohler, Austria, 195?,
13,The World View Of Subversive Cinema,Masculine - Feminine,Jean-Luc Godard, France, 1966,Q195593
14,The World View Of Subversive Cinema,Nothing Happened This Morning,David Bienstock, USA, 1965,
15,The World View Of Subversive Cinema,No More Fleeing (Nicht Mehr Fliehen),Herbert Vesely, West Germany, 1955,Q76940513
16,The World View Of Subversive Cinema,Rashomon,Akira Kurosawa, Japan, 1951,Q135465
17,The World View Of Subversive Cinema,Relativity,Ed Emshwiller, USA, 1966,Q55752315
18,The World View Of Subversive Cinema,(Deux Ou Trois Choses Que Je Sais D'Elle),Jean-Luc Godard, France, 1966,Q232217
19,The World View Of Subversive Cinema,Zorn'S Lemma,Hollis Frampton, USA, 1970,
20,The World View Of Subversive Cinema,Weekend,Jean-Luc Godard, France, 1968,Q1812267
21,The World View Of Subversive Cinema,Why Not,S. Arakawa, USA, 1970,
22,Revolutionary Film Avant- Garde In Soviet Russia,By The Law,Lev Kuleshov, USSR, 1926,Q477602
23,Revolutionary Film Avant- Garde In Soviet Russia,Strike (Stachka),Sergei M. Eisenstein, USSR, 1925,Q151177
24,Revolutionary Film Avant- Garde In Soviet Russia,Earth (Zemlya),Alexnader Dovzhenko, USSR, 1930,Q55188
25,Revolutionary Film Avant- Garde In Soviet Russia,Arsenal,Alexnader Dovzhenko, USSR, 1929,Q704456
26,Revolutionary Film Avant- Garde In Soviet Russia,Storm Over Asia (Potomok Chingis-Khan),V.I. Pudovkin, USSR, 1928,
27,Revolutionary Film Avant- Garde In Soviet Russia,The End Of St. Petersburg,V.I. Pudovkin, USSR, 1927,Q2198716
28,Revolutionary Film Avant- Garde In Soviet Russia,(Chelovek A Kinoapparatom),Dziga Vertov, USSR, 1929,Q829250
29,Revolutionary Film Avant- Garde In Soviet Russia,October,Sergei M. Eisenstein, USSR, 1927,Q1156836
30,Aesthetic Rebels And Rebellious Clowns,Satyricon,Federico Fellini, Italy, 1969,Q18416
31,Aesthetic Rebels And Rebellious Clowns,"Birds, Orphans, And Fools",Juro Jakubisco, France, 1971,Q3234328
32,Aesthetic Rebels And Rebellious Clowns,Big Business,J.W. Horne, USA, 1924,
33,Expressionism: The Cinema Of Unrest,(Das Kabinett Des Dr. Caligari),Robert Wiene, Germany, 1919,Q153886
34,Expressionism: The Cinema Of Unrest,The Cat And The Canary,Paul Leni, USA, 1927,Q2336169
35,Expressionism: The Cinema Of Unrest,The Cremator,Juraj Herz, Czechoslavakia, 1968,Q3178853
36,Expressionism: The Cinema Of Unrest,(Koshikei),Nagisa Oshima, Japan, 1968,Q926134
37,Expressionism: The Cinema Of Unrest,Capricci,Carmelo Bene, Italy, 1969,Q3657853
38,Expressionism: The Cinema Of Unrest,(Nostra Signora Dei Turchi),Carmelo Bene, Italy, 1969,Q3878627
39,Expressionism: The Cinema Of Unrest,(Feu Mathias Pascal),Marcel L'Herbier, France, 1924,Q284980
40,Expressionism: The Cinema Of Unrest,The Liberation Of Mannique Mechanique,Steve Arnold, USA, 1971,
41,Expressionism: The Cinema Of Unrest,(De Werkelijkheid Van Karel Appel),Jan Vrijman, Holland, 1962,
42,Expressionism: The Cinema Of Unrest,Visual Training,Frans Zwartjes, Holland, 1969,
43,Expressionism: The Cinema Of Unrest,Viva La Muerte,Arrabal, France, 1971,Q3561417
44,Surrealism: The Cinema Of Shock,Funeral Parade Of Roses,Toshio Matsumoto, Japan, 1969,Q5509114
45,Surrealism: The Cinema Of Shock,Aos,Yoki Kuri, Japan, 1964,
46,Surrealism: The Cinema Of Shock,(Un Chien Andalou),Luis Bunuel & Salvador Dali, France, 1929,Q190575
47,Surrealism: The Cinema Of Shock,The Church Bell (La Cloche),Jean L'Hote, France, 1964,
48,Surrealism: The Cinema Of Shock,(La Charme Discrete De La Bourgeoisie),Luis Bunuel, France, 1972,
49,Surrealism: The Cinema Of Shock,(Spiste Horisonter),Wilhelm Freddie, Denmark, 1950,
50,Surrealism: The Cinema Of Shock,An Eater,Kazutomo Fuzino, Japan, 1963,
51,Surrealism: The Cinema Of Shock,Fingerexercise,Robert Schaer, Switzerland, 1969,
52,Surrealism: The Cinema Of Shock,The Gift (Le Cadeau),Jacques Vasseur & Dick Roberts, France, 1961,
53,Surrealism: The Cinema Of Shock,L'Age D'Or,Luis Bunuel, France, 1930,Q946849
54,Surrealism: The Cinema Of Shock,La Gran Siguriya,Jose Val Del Omar, Spain, 1955,
55,Surrealism: The Cinema Of Shock,Magritte,Luc De Heusch, Belgium, 1955?,Q3277397
56,Surrealism: The Cinema Of Shock,Mr. Frenhofer And The Minotaur,Sidney Peterson, USA, 1949,
57,Surrealism: The Cinema Of Shock,8 X 8,Hans Richter, USA, 1957,
58,Surrealism: The Cinema Of Shock,Our Lady Of The Sphere,Larry Jordan, USA, 1969,Q7111048
59,Surrealism: The Cinema Of Shock,"The Running, Jumping And Standing Still Film",Richard Lester & Peter Sellers, Great Britain, 1959,Q12127260
60,Surrealism: The Cinema Of Shock,Runs Good,Pat O'Neill, USA, 1971,
61,Surrealism: The Cinema Of Shock,(Le Monde De Paul Delvaux),Henri Storck, Belgium, 1947,Q3224667
62,Surrealism: The Cinema Of Shock,The Lead Shoes,Sidney Peterson, USA, 1949,Q2102747
63,Surrealism: The Cinema Of Shock,King Kong,Merian C. Cooper, Ernest B. Schoedsack, USA,Q309048
64,Dada And Pop: Anti-Art?,Black And White Burlesque,Richard Preston, USA, 1958,
65,Dada And Pop: Anti-Art?,Fotodeath,Al Kouzel, USA, 1958?,
66,Dada And Pop: Anti-Art?,Anemic Cinema,Marcel Duchamp, France, 1926,Q3620529
67,Dada And Pop: Anti-Art?,A La Mode,Stan Vanderbeek, USA, 1961,
68,Dada And Pop: Anti-Art?,(Der Tod Der Maria Malibran),Werner Schroeter, Germany, 1971,Q3210836
69,Dada And Pop: Anti-Art?,"What, Who, How",Stan Vanderbeek, USA, 1955,
70,Dada And Pop: Anti-Art?,(En Dag I Staden),Pontus Hulten and Hans Nordenstrom, Sweden, 1956,
71,Dada And Pop: Anti-Art?,Cosmic Ray,Bruce Conner, USA, 1962,Q5174096
72,Dada And Pop: Anti-Art?,Homage To Jean Tinguely,Robert Breer, USA, 1960,
73,Dada And Pop: Anti-Art?,Oh Dem Watermelons,Robert Nelson, USA, 1965,
74,Dada And Pop: Anti-Art?,Pianissimo,Carmen D'Avino, USA, 1963,Q1529316
75,Dada And Pop: Anti-Art?,Further Adventures Of Uncle Sam,Robert Mitchell and Dale Chase, USA, 1971,Q48741143
76,Dada And Pop: Anti-Art?,Jamestown Baloos,Robert Breer, USA, 1967,
77,Dada And Pop: Anti-Art?,Man And Dog Out For Air,Robert Breer, USA, 1957,
78,Dada And Pop: Anti-Art?,Science Friction,Stan Vanderbeek, USA, 1960,
79,Dada And Pop: Anti-Art?,Skullduggery,Stan Vanderbeek, USA, 1956,
80,Dada And Pop: Anti-Art?,Sort Of A Commercial For An Icebag,Michel Hugo, USA, 1970,
81,Dada And Pop: Anti-Art?,Dreams That Money Can Buy,Hans Richter, USA, 1948,Q2362995
82,The Comic Tradition,The Navigator,Buster Keaton & Donald Crisp, USA, 1924,Q1195998
83,The Comic Tradition,Horse Feathers,Norman McLeod, USA, 1932,Q887192
84,The Comic Tradition,Work,Charles Chaplin, USA, 1915,Q2445896
85,The Comic Tradition,Monsieur Verdoux,Charles Chaplin, USA, 1947,Q572440
86,The Comic Tradition,Sunnyside,Charles Chaplin, USA, 1919,Q759443
87,The Comic Tradition,Limelight,Charles Chaplin, USA, 1952,Q584509
88,The Destruction Of Time And Space,Meshes Of The Afternoon,Maya Deren, USA, 1940,Q1922418
89,The Destruction Of Time And Space,Mosaic In Confidence,Peter Kubelka, Austria, 1963,
90,The Destruction Of Time And Space,Aktion 540,Werner Koenigs, West Germany, 1968,
